Vehicle,"4960","branch","","","","","Highlevel vehicle data.","","",""
Vehicle.Acceleration,"4526","branch","","","","","Spatial acceleration","","",""
Vehicle.Acceleration.Lateral,"1207","sensor","int32","m/s2","","","Vehicle acceleration in Y (lateral acceleration).","","",""
Vehicle.Acceleration.Longitudinal,"1206","sensor","int32","m/s2","","","Vehicle acceleration in X (longitudinal acceleration).","","",""
Vehicle.Acceleration.Vertical,"1208","sensor","int32","m/s2","","","Vehicle acceleration in Z (vertical acceleration).","","",""
Vehicle.Drivetrain,"4530","branch","","","","","Drivetrain data for internal combustion engines, transmissions, electric motors, etc.","","",""
Vehicle.Drivetrain.FuelCell,"4537","branch","","","","","Fuel Cell data.","","",""
Vehicle.Drivetrain.FuelSystem,"4536","branch","","","","","Fuel system data.","","",""
Vehicle.Drivetrain.FuelSystem.HybridType,"3454","attribute","string","","","","Defines the hybrid type of the vehicle","unknown / not_applicable / stop_start / belt_ISG / CIMG / PHEV","",""
Vehicle.Drivetrain.FuelSystem.TankCapacity,"3455","attribute","uint16","l","","","Capacity of the fuel tank in liters","","",""
Vehicle.Drivetrain.FuelSystem.ConsumptionSinceStart,"3460","sensor","float","l","","","Fuel amount consumed since start in liters.","","",""
Vehicle.Drivetrain.FuelSystem.EngineStopStartEnabled,"3462","sensor","boolean","","","","Indicates whether eco start stop is currently enabled","","",""
Vehicle.Drivetrain.FuelSystem.Level,"3456","sensor","uint8","percent","0","100","Level in fuel tank as percent of capacity. 0 = empty. 100 = full.","","",""
Vehicle.Drivetrain.FuelSystem.InstantConsumption,"3458","sensor","float","l/100km","0","","Current consumption in liters per 100 km.","","",""
Vehicle.Drivetrain.FuelSystem.TimeSinceStart,"3461","sensor","uint32","s","","","Time elapsed since start in seconds.","","",""
Vehicle.Drivetrain.FuelSystem.LowFuelLevel,"3463","sensor","boolean","","","","Indicates that the fuel level is low (e.g. <50km range)","","",""
Vehicle.Drivetrain.FuelSystem.Range,"3457","sensor","uint32","m","","","Range in meters.","","",""
Vehicle.Drivetrain.FuelSystem.AverageConsumption,"3459","sensor","float","l/100km","0","","Average consumption in liters per 100 km.","","",""
Vehicle.Drivetrain.FuelSystem.FuelType,"3453","attribute","string","","","","Defines the fuel type of the vehicle","unknown / gasoline / diesel / electric / hybrid / E85 / CNG / LPG","",""
Vehicle.Drivetrain.Transmission,"4533","branch","","","","","Transmission-specific data, stopping at the drive shafts.","","",""
Vehicle.Drivetrain.Transmission.TravelledDistance,"3443","sensor","float","km","","","Odometer reading","","",""
Vehicle.Drivetrain.Transmission.Gear,"3444","actuator","int8","","-1","16","Current gear. 0=Neutral. -1=Reverse","","",""
Vehicle.Drivetrain.Transmission.Speed,"3442","sensor","int32","km/h","-250","250","Vehicle speed, as sensed by the gearbox.","","",""
Vehicle.Drivetrain.Transmission.GearCount,"3440","attribute","uint8","","","","Number of forward gears in the transmission. -1 = CVT.","","",""
Vehicle.Drivetrain.Transmission.PerformanceMode,"3445","actuator","string","","","","Current gearbox performance mode.","normal / sport / economy / snow / rain","",""
Vehicle.Drivetrain.Transmission.ClutchWear,"3448","sensor","uint8","percent","","","Clutch wear as a percent. 0 = no wear. 100 = worn.","","",""
Vehicle.Drivetrain.Transmission.DriveType,"3441","attribute","string","","","","Drive type.","unknown / forward wheel drive / rear wheel drive / all wheel drive","",""
Vehicle.Drivetrain.Transmission.Type,"3439","attribute","string","","","","Transmission type.","unknown / sequential / H / automatic / DSG / CVT","",""
Vehicle.Drivetrain.Transmission.GearChangeMode,"3446","actuator","string","","","","Is the gearbox in automatic or manual (paddle) mode.","manual / automatic","",""
Vehicle.Drivetrain.Transmission.Temperature,"3447","sensor","int16","celsius","-50","200","The current gearbox temperature","","",""
Vehicle.Drivetrain.ElectricMotor,"4534","branch","","","","","Electric Motor specific data.","","",""
Vehicle.Drivetrain.InternalCombustionEngine,"4531","branch","","","","","Engine-specific data, stopping at the bell housing.","","",""
Vehicle.Drivetrain.InternalCombustionEngine.Engine,"4532","branch","","","","","Engine signals","","",""
Vehicle.Drivetrain.InternalCombustionEngine.Engine.EOP,"3435","sensor","int16","kpa","0","1000","Engine oil pressure.","","",""
Vehicle.Drivetrain.InternalCombustionEngine.Engine.MAP,"3432","sensor","int16","kpa","0","1000","Manifold air pressure possibly boosted using forced induction.","","",""
Vehicle.Drivetrain.InternalCombustionEngine.Engine.Power,"3436","sensor","int16","kW","0","2000","Current engine power output.","","",""
Vehicle.Drivetrain.InternalCombustionEngine.Engine.EOT,"3431","sensor","int16","celsius","-50","300","Engine oil temperature.","","",""
Vehicle.Drivetrain.InternalCombustionEngine.Engine.Torque,"3437","sensor","int16","N.m","0","3000","Current engine torque.","","",""
Vehicle.Drivetrain.InternalCombustionEngine.Engine.AmbientAirTemperature,"3438","sensor","float","celsius","","","Ambient (Outside) air temperature","","",""
Vehicle.Drivetrain.InternalCombustionEngine.Engine.ECT,"3430","sensor","int16","celsius","-50","200","Engine coolant temperature.","","",""
Vehicle.Drivetrain.InternalCombustionEngine.Engine.TPS,"3434","sensor","int8","percent","0","100","Current throttle position.","","",""
Vehicle.Drivetrain.InternalCombustionEngine.Engine.MAF,"3433","sensor","int16","g/s","0","3000","Grams of air drawn into engine per second.","","",""
Vehicle.Drivetrain.InternalCombustionEngine.Engine.Speed,"3429","sensor","uint16","rpm","0","20000","Engine speed measured as rotations per minute.","","",""
